O,15
M,6,,,,,
T,70,,,,,
C,80,,,,,
Job,Operation,Release time,Processing time,Due date,Tool set,Tool set size
6,1,0,1.53333,337.5333333,33,10
7,1,0,5.83333,341.8333333,29,27
1,1,0.535,8.086,344.6211111,27,50
11,1,23.93333333,2.66667,362.6,66,2
10,1,24.18333333,2.66667,362.85,70,25
4,1,24.34,2.5,362.84,54,17
5,1,24.43,3.5,363.93,54,17
3,1,24.7,6.5,367.2,54,17
2,1,24.88,8.5,369.38,54,17
118,1,42.56472222,29.75,408.3147222,16,8
33,1,47.75,3.836,387.5861111,26,25
34,1,47.75,5.233336,388.9833333,26,25
27,1,47.75,8.250005,392,65,12
16,1,48,16.399972,400.4,49,11
31,1,48,2.333335,386.3333333,47,12
