O,60
M,6,,,,,
T,70,,,,,
C,80,,,,,
Job,Operation,Release time,Processing time,Due date,Tool set,Tool set size
6,1,0,1.53333,337.5333333,33,10
7,1,0,5.83333,341.8333333,29,27
1,1,0.535,8.086,344.6211111,27,50
11,1,23.93333333,2.66667,362.6,66,2
10,1,24.18333333,2.66667,362.85,70,25
4,1,24.34,2.5,362.84,54,17
5,1,24.43,3.5,363.93,54,17
3,1,24.7,6.5,367.2,54,17
2,1,24.88,8.5,369.38,54,17
118,1,42.56472222,29.75,408.3147222,16,8
33,1,47.75,3.836,387.5861111,26,25
34,1,47.75,5.233336,388.9833333,26,25
27,1,47.75,8.250005,392,65,12
16,1,48,16.399972,400.4,49,11
31,1,48,2.333335,386.3333333,47,12
32,1,48,2.333335,386.3333333,68,12
25,1,48,2.450005,386.45,50,14
15,1,48,21.066648,405.0666667,22,13
17,1,48,37.00001,421,11,24
12,1,48.25,11.66667,395.9166667,6,10
9,1,48.61666667,2.66667,387.2833333,57,18
8,1,48.7,6,390.7,51,17
26,1,71.75,7.332505,415.0825,53,15
14,1,72,4.466656,412.4666667,45,9
40,1,72,33.45,441.45,28,17
28,1,72,35.25,443.25,69,2
24,1,72.25,2.534,410.7841667,63,18
13,1,72.5,1.325313,409.8252778,13,7
23,1,72.65,6.798,415.4480556,63,18
30,1,74.41666667,2.916,413.3327778,32,1
18,1,75.45,52.45,463.9,21,24
114,1,91.55972222,10,437.5597222,52,35
19,1,96.16666667,9.5,441.6666667,35,36
20,1,96.16666667,9.5,441.6666667,35,36
39,1,96.25,3.133334,435.3833333,6,10
22,1,96.45111111,3.226,435.6769444,58,27
38,1,96.6,6.66667,439.2666667,56,20
29,1,96.83,6.16667,438.9966667,52,35
37,1,96.95,4.75,437.7,56,20
35,1,97.25,4.75,438,56,20
36,1,97.25,6.999995,440.25,56,20
21,1,97.33,6.5,439.83,58,27
117,1,114.8811111,2.05,452.9311111,20,15
113,1,139.5144444,5.999995,481.5144444,55,22
42,1,144,1.66667,481.6666667,38,16
41,1,144.25,11.150014,491.4,30,28
46,1,192,12.666675,540.6666667,37,28
44,1,192,15.00001,543,37,28
45,1,192,16.400011,544.4,37,28
47,1,192,17.800012,545.8,37,28
49,1,216.3,1.333333,553.6333333,64,29
50,1,216.35,1.666666,554.0166667,64,29
48,1,216.4,1.999999,554.4,64,29
66,1,240,22.833322,598.8333333,46,24
67,1,240,17.66665,593.6666667,41,14
43,1,241.05,6.199996,583.25,3,19
51,1,245.26,60.45,641.71,62,16
56,1,263.9333333,2.66667,602.6,66,2
55,1,264.1833333,2.66667,602.85,70,25
52,1,264.25,9.25,609.5,15,16
